1 1 infinity
2 1 infinity
3 1 infinity
4 2 infinity
5 2 infinity
6 2 infinity
7 3 4
8 3 infinity
9 3 infinity
10 3 infinity
11 4 5
12 4 5
13 4 infinity
14 4 infinity
15 4 infinity
16 5 6
17 5 6
18 5 7
19 5 infinity
20 5 infinity
21 5 infinity
22 6 7
23 6 7
24 6 7
25 6 9
26 6 infinity
27 6 infinity
28 6 infinity
29 7 8
30 7 8
31 7 8
32 7 9
33 7 11
34 7 infinity
35 7 infinity
36 7 infinity
37 8 9
38 8 9
39 8 9
40 8 9
41 8 11
42 8 13
43 8 infinity
44 8 infinity
45 8 infinity
46 9 10
47 9 10
48 9 10
49 9 10
50 9 11
51 9 12
52 9 15
53 9 infinity
54 9 infinity
55 9 infinity
56 10 11
57 10 11
58 10 11
59 10 11
60 10 11
61 10 12
62 10 14
63 10 17
64 10 infinity
65 10 infinity
66 10 infinity
67 11 12
68 11 12
69 11 12
70 11 12
71 11 12
72 11 13
73 11 14
74 11 16
75 11 19
76 11 infinity
77 11 infinity
78 11 infinity
79 12 13
80 12 13
81 12 13
82 12 13
83 12 13
84 12 13
85 12 14
86 12 15
87 12 17
88 12 21
89 12 infinity
90 12 infinity
91 12 infinity
92 13 14
93 13 14
94 13 14
95 13 14
96 13 14
97 13 14
98 13 15
99 13 16
100 13 17
101 13 19
102 13 23
