(5,1009)
{1, 0, 0, 0, 0, 0}
{0, 1, 0, 0, 0, 0}
{0, 0, 1, 0, 0, 0}
{0, 0, 0, 1, 0, 0}
{0, 0, 0, 0, 1, 0}
{0, 0, 0, 0, 0, 1}
{1, 1, 1, 1, 1, 1}
{-25, -426, -67, 16, -214, 74}
{-227, 247, -107, -351, 29, -295}
{-177, 474, -502, 458, -119, -407}
{-58, 237, 361, -448, -235, -236}
{-115, -1, 415, 492, 371, 311}
{75, 381, 299, 249, -326, -429}
{34, -77, -331, 323, 76, 473}
{-187, -403, 24, -60, -93, -258}
{-165, -180, -144, -234, 206, -107}
{107, -443, 389, -54, 266, -103}
{-324, 424, 46, -234, 503, -316}
{-377, -196, -449, 332, -388, 311}
{48, 373, 307, -67, 303, -397}
{271, 101, -463, -288, -273, 183}
{-107, -487, 304, 376, 198, -298}
{419, -77, -242, 51, 340, 16}
{455, 242, -52, 20, -162, -108}
{418, -77, -242, -191, 93, -179}
{388, -441, 243, -2, -386, 35}
{284, 306, -31, -355, 33, 412}
{-98, 101, 392, 172, 97, -195}
{235, -261, 259, -20, -353, 370}
{30, -94, -87, 225, -99, -477}
{-95, 84, 126, -257, -28, -475}
{-376, 15, 481, 164, -193, -84}
{-133, -112, -376, -144, 73, -343}
{153, 6, -252, -447, -409, -499}
{-202, -191, 181, 410, 105, -267}
{-78, 250, 491, -12, 293, 322}
{-115, -314, 422, 263, -281, 178}
{355, 30, -23, -197, -200, 282}
{222, 446, -326, 425, -486, -438}
{-206, -151, -336, 3, 437, -257}
{-443, -140, 386, 160, 18, -166}
{-305, -340, -348, 477, 218, 225}
{-119, 269, -58, 211, 258, 276}
{-310, -203, 324, 228, -495, -349}
{-361, -392, 16, 358, -407, 40}
{-104, -121, -126, -148, 117, -321}
{24, 295, -502, -178, -47, -106}
{-226, -168, 405, 224, 95, 361}
{-175, -77, 115, 71, -237, 353}
{-324, -111, -126, 323, 325, 132}
{-359, 244, -257, -500, 216, -141}
{-410, -358, -326, 68, 124, 239}
{463, -401, -415, -237, -168, 413}
{-287, 209, -161, 391, 119, 7}
{221, -207, -234, -82, -108, 360}
{-383, 94, -492, -87, 96, 284}
{-265, -40, -147, 294, 138, -212}
{-256, 427, 107, -171, 156, -436}
{-171, -414, -41, 49, -487, 148}
{220, -426, -414, -274, -441, 321}
{103, -210, 1, 134, -189, 441}
{-200, -331, -102, -75, 160, 61}
{211, -23, -401, 11, -206, -115}
{-54, 452, 493, -185, 74, 100}
{-131, 493, 290, -13, 388, 330}
{501, -499, -44, 221, 363, -432}
{-478, -161, -130, 14, 400, -2}
{-155, -271, -210, 367, 92, 317}
{-199, -234, -476, 29, -485, -280}
{27, -504, 231, -316, 151, 311}
{277, 318, -160, 384, 441, 84}
{298, -309, 256, 436, 252, 137}
{-472, -295, -198, -453, -312, -134}
{-82, 167, 276, -246, 65, 400}
{-465, -283, 62, -502, -367, 443}
{-213, -264, -386, 424, 413, 52}
{195, 454, 45, -79, 103, 318}
{-58, 393, 296, -161, 464, 187}
{223, 183, 211, 173, 483, -216}
{196, 146, -107, 345, -12, -132}
{325, -397, -231, -50, -213, -353}
{-170, -378, 38, 5, 252, 300}
{-97, -29, 168, 294, 390, -28}
{45, -238, -244, -405, 107, 320}
{436, -45, 132, 197, 171, -284}
{145, 277, 105, 27, 405, 383}
{-225, 204, -213, -424, -237, 227}
{334, 200, -2, 432, -33, -186}
{437, 486, 61, 230, -275, -130}
{-231, 312, 256, 284, -10, -347}
{-254, -183, -156, 172, 447, 359}
{-135, -159, -47, -356, 449, -308}
{183, -429, 359, 68, -452, -494}
{496, 154, 77, -111, -227, -367}
{407, 222, 194, -50, -96, 163}
{388, -216, -7, 230, -120, 183}
{315, -414, 286, -418, 308, 429}
{-485, 272, -491, 89, -386, 413}
{-442, -440, 285, 234, -481, 152}
{-459, 504, -427, 40, 243, -284}
