(8,1009)
{1, 0, 0, 0, 0, 0, 0, 0, 0}
{0, 1, 0, 0, 0, 0, 0, 0, 0}
{0, 0, 1, 0, 0, 0, 0, 0, 0}
{0, 0, 0, 1, 0, 0, 0, 0, 0}
{0, 0, 0, 0, 1, 0, 0, 0, 0}
{0, 0, 0, 0, 0, 1, 0, 0, 0}
{0, 0, 0, 0, 0, 0, 1, 0, 0}
{0, 0, 0, 0, 0, 0, 0, 1, 0}
{0, 0, 0, 0, 0, 0, 0, 0, 1}
{1, 1, 1, 1, 1, 1, 1, 1, 1}
{-354, -232, -273, 319, -343, 287, 367, -218, 317}
{252, 58, 256, -93, -384, 214, 491, 175, -251}
{190, 133, 383, 142, 146, 482, -223, -135, 66}
{193, 149, 347, -497, -350, 339, -277, 285, -108}
{13, 443, 256, 174, 328, -72, 368, 361, -170}
{325, -49, -157, 7, 176, -377, -59, 188, 160}
{193, 460, 297, -176, 466, -259, 101, 116, -239}
{-55, 380, -194, -146, 104, -320, 376, -419, 159}
{326, 461, -436, -65, -402, 498, -225, -277, 224}
{-20, 87, -347, 458, 419, 57, 15, -109, 402}
{320, 431, -236, -391, 217, -408, 245, -40, 257}
{360, 341, -232, -300, -226, 359, -365, -388, 450}
{189, -329, -154, 300, 294, 233, 409, 442, -501}
{-175, 288, 416, 417, -323, -422, -465, -177, 480}
{-233, -488, 211, 2, 176, 92, 167, -91, -76}
{292, -170, 244, 271, -300, -169, -306, -43, -254}
{104, 400, -90, 70, -262, -115, 446, -179, -22}
{139, -429, 93, 184, -188, 278, 130, -465, -142}
{-403, -144, 23, 168, -130, 384, 198, -249, -288}
{-53, 398, -193, -72, -95, -367, 430, 236, -438}
{74, 263, 272, -202, -329, -375, 466, 466, -345}
{287, -193, 117, -121, -443, 20, -145, 221, -18}
{-284, -455, -224, 142, 503, -142, 408, 124, 333}
{275, -192, 295, -490, -54, 478, 64, -280, 77}
{-27, 431, -41, -425, -78, 371, 288, -190, 191}
{-444, 49, 277, -257, 174, 251, 17, 381, -417}
{329, 313, 385, -352, -310, 365, 409, -111, -383}
{87, 113, -412, 28, 149, 234, -475, -388, 438}
{-50, -406, -341, 342, -79, 210, 315, 385, 310}
{1, 78, 16, 443, -195, 354, -272, -70, 394}
{190, 143, -454, 225, 7, 277, -444, -124, -17}
{-85, 102, -206, -88, 328, -479, 73, 120, -233}
{281, 477, 389, 224, 294, 313, 44, 97, -249}
{-222, 481, 304, 189, -236, -495, 100, -42, -371}
{503, -88, 124, -154, 143, 417, -374, 174, -427}
{143, -117, 275, 285, 207, 211, 111, 58, 29}
{-231, -69, 195, -330, -97, -2, -315, -425, -251}
{133, 329, 16, 152, 186, 29, -64, 306, -330}
{201, -115, 400, 255, 480, -374, 463, -426, -35}
{381, -294, 493, 176, 340, 34, 216, -343, -90}
{-457, 28, -236, 159, -344, 381, 154, 79, -355}
{82, 498, -416, -456, -191, 67, 77, 311, 39}
{-31, -162, -73, 109, -475, -490, 308, 441, 359}
{-158, 84, -15, 472, -246, -109, 411, 322, -290}
{-95, 261, -336, -111, 48, 23, -195, -317, 145}
{-265, -214, 363, -47, 342, -13, -342, 492, 60}
{-474, 454, -347, 224, -408, 205, 79, 224, 49}
