(5,1009)
{1, 0, 0, 0, 0, 0}
{0, 1, 0, 0, 0, 0}
{0, 0, 1, 0, 0, 0}
{0, 0, 0, 1, 0, 0}
{0, 0, 0, 0, 1, 0}
{0, 0, 0, 0, 0, 1}
{1, 1, 1, 1, 1, 1}
{-326, 293, 482, -171, 160, -415}
{250, 345, 181, 437, 465, -72}
{213, -474, -108, 207, -127, -333}
{-425, -150, -486, -212, 215, 503}
{-296, -317, -344, -303, 41, -446}
{178, -230, 97, -174, -80, -209}
{-368, 376, -405, -495, 127, 486}
{-232, -182, 399, -45, -241, -83}
{204, 425, 236, -347, 502, -416}
{-34, -480, 432, -329, -228, -78}
{-451, 28, -446, 176, 332, -336}
{331, -15, -391, 16, -135, 341}
{-251, 150, -456, 346, -190, -67}
{-26, 433, 22, -413, 58, -435}
{221, -410, -133, -497, -123, 5}
{390, -385, 453, 46, -108, -495}
{-130, -478, -115, -365, 43, -117}
{-406, 350, -306, -409, 48, 444}
{-464, 140, -494, 99, -213, -139}
{-383, 22, 124, 130, 188, -68}
{422, 382, -223, -64, 254, -137}
{-486, 369, 71, 306, -285, 449}
{-157, -331, 298, 217, -161, -101}
{478, -180, -223, 332, -317, 288}
{-261, 322, 410, -17, -201, 58}
{-405, -444, -252, -491, -291, 353}
{-176, 352, -343, -336, 120, 66}
{-245, 373, 44, 492, 39, 502}
{1, -160, -210, -105, -437, 446}
{54, -75, -388, 207, -461, 234}
{74, 191, -247, 499, -111, -105}
{459, -454, 101, -110, -155, 434}
{-127, 270, 55, 499, 135, -146}
{-307, -55, 504, -310, -478, -265}
{-5, 438, -406, 277, -201, -38}
{-78, -59, 474, -29, -19, -2}
{298, -311, 385, -46, 365, -450}
{76, -15, -415, 263, -42, 78}
{-218, -214, 416, -102, 175, -272}
{-53, 373, -420, 441, -357, 388}
{432, 131, -155, -166, 61, -85}
{-374, -6, -370, -246, -420, -95}
{459, -381, -210, -35, 113, -286}
{156, 14, -431, 502, -288, -238}
{210, 339, 400, 107, 459, -189}
{-448, -363, 154, 11, -289, 490}
{-338, 361, 63, -399, 385, -358}
{-286, -94, -296, 327, -471, 453}
{-357, -372, -156, -88, 247, -1}
{240, 458, -346, -147, -89, 72}
{-280, 238, -10, 169, -257, 403}
{-171, -368, -473, 269, -172, -379}
{27, 65, 178, 471, -186, 91}
{420, -150, -287, 488, -287, -54}
{354, -234, 131, -401, 421, 29}
{350, 466, -52, 10, -494, -487}
{-21, -473, -103, -223, 500, 444}
{438, -205, -361, -246, -65, 418}
{-87, -70, 12, 319, 214, -356}
{-410, -131, -122, 166, -319, 344}
{487, 209, 212, 323, 423, 157}
{-101, 460, -234, 284, -28, -335}
{359, 403, -131, -485, -270, 1}
{154, 402, 301, -49, 476, -244}
{204, 479, 3, 64, -421, -359}
{245, 311, 473, 42, -280, -164}
{-413, 31, 124, -306, 254, 336}
{299, -193, -173, 19, -230, 358}
{501, -184, -277, 171, 89, 496}
{-73, -310, -66, -309, 380, 501}
{-114, 345, 169, 431, -134, -371}
{190, 10, -87, 348, 336, 11}
{97, -399, -156, -490, -456, 467}
{-273, -288, 165, -458, -180, 180}
{-447, -455, -318, 11, 63, -33}
{-84, -461, 503, 399, 325, 120}
{370, 281, 355, 76, -164, -283}
{277, -331, 472, 142, 231, 277}
{-223, 68, -384, -212, -2, 180}
{52, 424, 404, 77, -381, -139}
{-290, -88, -48, -137, 116, -80}
{-92, 152, 435, -422, -288, -118}
{361, -471, -107, 266, -324, 494}
{372, -407, -10, -303, -270, -425}
{-459, 407, -228, -65, 314, -412}
{391, 294, -45, -36, -85, -13}
{271, 40, 140, 72, 120, -215}
{-489, 50, 72, 358, -201, -59}
{-19, -38, -459, -2, -7, -344}
{100, -430, -170, 367, 101, -186}
{495, -497, 14, -360, -343, -419}
{-304, 378, -312, 236, -91, -10}
{112, -421, -104, 95, -31, -187}
