7 3 1
11 4 1
12 4 1
16 5 1
17 5 1
18 5 2
22 6 1
23 6 1
24 6 1
25 6 3
29 7 1
30 7 1
31 7 1
32 7 2
33 7 4
37 8 1
38 8 1
39 8 1
40 8 1
41 8 3
42 8 5
46 9 1
47 9 1
48 9 1
49 9 1
50 9 2
51 9 3
52 9 6
56 10 1
57 10 1
58 10 1
59 10 1
60 10 1
61 10 2
62 10 4
63 10 7
67 11 1
68 11 1
69 11 1
70 11 1
71 11 1
72 11 2
73 11 3
74 11 5
75 11 8
79 12 1
80 12 1
81 12 1
82 12 1
83 12 1
84 12 1
85 12 2
86 12 3
87 12 5
88 12 9
92 13 1
93 13 1
94 13 1
95 13 1
96 13 1
97 13 1
98 13 2
99 13 3
100 13 4
101 13 6
102 13 10
